,Prob of Errors,Population Size,Best Score,Survived Trials
0,0.99,10,42647.538253677936,6
1,0.99,20,31021.648530081337,72
2,0.99,40,33694.662436374245,31
3,0.99,50,28664.81596404635,93
4,0.99,100,27277.815652680583,100
5,0.99,300,12228.435107923473,2335
6,0.99,500,10699.226538139585,7999
7,0.95,10,40496.64964792678,10
8,0.95,20,26959.702018739838,139
9,0.95,40,14617.080754279654,1070
10,0.95,50,15222.827591695706,890
11,0.95,100,8862.920223361316,7999
12,0.95,300,10541.640318943108,7999
13,0.95,500,10409.146863659116,7999
14,0.9,10,40220.023509349776,11
15,0.9,20,22418.09862866318,233
16,0.9,40,9053.745782843242,5230
17,0.9,50,8028.785261389316,7999
18,0.9,100,7792.509870606623,7999
19,0.9,300,7961.829251332795,7999
20,0.9,500,10419.512080467153,7999
21,0.8,10,36661.40472619844,29
22,0.8,20,10155.796092867968,6405
23,0.8,40,8641.720538477959,7999
24,0.8,50,8097.238079560259,7999
25,0.8,100,9621.68827536302,7999
26,0.8,300,11809.218080548842,7999
27,0.8,500,13175.04132341835,7999
28,0.7,10,29884.2003789164,83
29,0.7,20,9474.864523993276,7999
30,0.7,40,9848.296744916075,7999
31,0.7,50,10444.548737488734,7999
32,0.7,100,11050.78618718167,7999
33,0.7,300,13184.54962458666,7999
34,0.7,500,13464.87942684534,7999
35,0.5,10,12250.386997040587,3645
36,0.5,20,11325.9674545552,7999
37,0.5,40,11308.304656792949,7999
38,0.5,50,11195.731242146398,7999
39,0.5,100,12174.268832564761,7999
40,0.5,300,14409.462028596301,7999
41,0.5,500,13765.231064568598,7999
42,0.3,10,15275.306204339377,1619
43,0.3,20,10632.350504869359,7999
44,0.3,40,11720.603037898261,7999
45,0.3,50,12207.220019106335,7999
46,0.3,100,12980.037461531803,7999
47,0.3,300,14189.591855745432,7999
48,0.3,500,14176.943507050451,7999
49,0.1,10,11584.920926511055,7999
50,0.1,20,11455.637709145114,7999
51,0.1,40,11760.401934559013,7999
52,0.1,50,12475.382742826594,7999
53,0.1,100,13088.346097231786,7999
54,0.1,300,13835.079663541688,7999
55,0.1,500,14538.123796869619,7999
56,0.0,10,11098.681649498123,7999
57,0.0,20,11942.921616894902,7999
58,0.0,40,11610.241165169999,7999
59,0.0,50,13570.21496775352,7999
60,0.0,100,12962.027267760015,7999
61,0.0,300,14319.379091466217,7999
62,0.0,500,15581.52879250418,7999
